section,size,addr,symbol,file,kind,classification
.time_critical.psram_init,8,0x2000d2dc,psram_init,libpsram.a(psram_init.c.obj),RAM-code(TC),init-only (MUST stay in RAM: reconfigs flash/clock/psram)
.time_critical.osd_render_line_hdmi,264,0x2000d2e4,osd_render_line_hdmi,libvideo_driver.a(hdmi.c.obj),RAM-code(TC),runtime
.time_critical.dma_handler_HDMI,3064,0x2000d3ec,dma_handler_HDMI,libvideo_driver.a(hdmi.c.obj),RAM-code(TC),runtime
.time_critical.graphics_set_palette_hdmi,1496,0x2000dfe4,graphics_set_palette_hdmi,libvideo_driver.a(hdmi.c.obj),RAM-code(TC),runtime
.time_critical.dma_handler_vga,3236,0x2000e5bc,dma_handler_vga,libvideo_driver.a(vga_hw.c.obj),RAM-code(TC),runtime
.time_critical.pre_render_line,88,0x2000f260,pre_render_line,libvideo_driver.a(vga_hw.c.obj),RAM-code(TC),runtime
.time_critical.vga_hw_process_deferred,760,0x2000f2b8,vga_hw_process_deferred,libvideo_driver.a(vga_hw.c.obj),RAM-code(TC),runtime
.time_critical.spread8_lut,1024,0x2000f5b0,spread8_lut,libvideo_driver.a(vga_hw.c.obj),RAM-code(TC),runtime
.time_critical.osd_is_visible,12,0x2000f9b0,osd_is_visible,libvideo_driver.a(vga_osd.c.obj),RAM-code(TC),runtime
.time_critical.osd_render_line_vga,244,0x2000f9bc,osd_render_line_vga,libvideo_driver.a(vga_osd.c.obj),RAM-code(TC),runtime
.time_critical.cga_colors,16,0x2000fab0,cga_colors,libvideo_driver.a(vga_osd.c.obj),RAM-code(TC),runtime
.time_critical.timer_callback,340,0x2000fac0,timer_callback,libaudio_driver.a(audio.c.obj),RAM-code(TC),runtime
.time_critical.repeat_me_often,88,0x2000fc14,repeat_me_often,libaudio_driver.a(audio.c.obj),RAM-code(TC),runtime
.text.frexp,108,0x2000fc6c,frexp,libm.a(libm_a-s_frexp.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.ilogb,96,0x2000fcd8,ilogb,libm.a(libm_a-s_ilogb.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.logb,140,0x2000fd38,logb,libm.a(libm_a-s_logb.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
.text.rint,292,0x2000fdc4,rint,libm.a(libm_a-s_rint.o),RAM-code(text),lib-in-RAM (relocatable to FLASH if not hot)
